Image,Time (ms),Shi-Tomasi/BRISK,Shi-Tomasi/ORB,Shi-Tomasi/SIFT,Shi-Tomasi/BRIEF,Shi-Tomasi/FREAK,HARRIS/BRISK,HARRIS/ORB,HARRIS/SIFT,HARRIS/BRIEF,HARRIS/FREAK,FAST/BRISK,FAST/ORB,FAST/SIFT,FAST/BRIEF,FAST/FREAK,BRISK/BRISK,BRISK/ORB,BRISK/SIFT,BRISK/BRIEF,BRISK/FREAK,ORB/BRISK,ORB/ORB,ORB/SIFT,ORB/BRIEF,ORB/FREAK,AKAZE/BRISK,AKAZE/ORB,AKAZE/AKAZE,AKAZE/SIFT,AKAZE/BRIEF,AKAZE/FREAK,SIFT/BRISK,SIFT/SIFT,SIFT/BRIEF,SIFT/FREAK
1,detector time,21.4913,18.7546,19.3173,20.2348,19.6317,20.7361,19.1735,21.2314,19.1982,19.6699,2.8422,2.82926,2.90798,2.63868,2.8788,245.448,279.492,247.829,245.921,252.181,58.06,43.0591,68.0809,44.4454,41.5225,128.703,128.549,147.107,127.314,167.844,126.357,200.642,199.485,192.2,207.153
,descriptor time,2.27713,3.2608,30.6591,1.73647,32.1748,2.10824,3.46904,31.7996,2.37033,29.7706,1.81965,3.42658,34.5918,1.58606,33.3155,0.993876,11.8151,55.5887,0.641638,28.6204,1.02061,11.5429,77.3475,1.61711,32.4224,3.17869,8.01832,108.078,37.3438,2.0222,34.7724,1.82312,131.255,1.94942,31.8244
2,detector time,12.6146,12.7591,12.9485,10.1041,10.2278,13.3429,11.3226,13.2669,13.9668,11.5664,2.91362,2.7052,2.30296,2.38399,2.3017,215.854,220.336,253.244,221.868,224.113,8.5665,8.80906,8.76543,7.93036,7.68925,137.124,115.816,126.074,119.007,123.19,120.352,171.67,183.973,161.637,167.453
,descriptor time,1.10229,4.1547,28.4676,0.865305,28.0855,1.12371,4.01554,27.0422,1.03308,26.3088,1.06473,3.18176,27.3926,0.627602,26.2645,0.971711,9.37697,52.9769,0.66933,28.0064,0.82391,9.2213,63.4514,0.633649,27.5657,3.85961,7.65173,106.997,37.9251,1.90676,33.1738,2.18573,140.348,1.60948,31.1999
3,detector time,10.6356,12.5454,14.0305,14.4039,14.5141,16.4399,16.3695,13.7672,12.7691,17.8097,3.61196,3.53312,3.31273,3.26238,2.59928,291.578,265.843,381.932,322.258,337.853,12.7831,11.4945,13.45,13.4747,10.7442,157.859,229.252,224.655,164.762,160.237,173.777,231.114,270.141,261.54,185.064
,descriptor time,0.901595,3.78254,35.0246,1.0127,32.0103,1.07951,5.83317,37.1229,2.36565,39.4499,1.28008,4.62987,32.799,0.88321,33.2846,0.873101,15.1818,72.8903,0.743132,35.1432,1.47331,13.73,112.504,1.0272,38.9002,1.51134,17.6396,148.142,50.876,1.26052,37.8003,1.34193,139.211,1.04289,30.259
4,detector time,14.273,12.834,15.0022,13.1551,14.9397,16.9342,17.8366,18.2002,15.9519,20.9661,2.85263,3.34456,3.50323,3.39415,3.43113,276.22,321.144,340.722,295.075,219.626,11.7172,12.7315,22.4385,13.6592,11.0273,126.441,202.559,184.076,142.912,217.861,173.24,205.887,204.16,165.519,156.687
,descriptor time,0.892748,4.03114,38.0189,0.979682,32.8075,0.859227,5.00916,38.303,0.950629,33.9862,1.10095,4.29618,52.6105,0.857012,34.2742,1.168,15.0726,61.6455,0.761499,30.4837,0.813694,15.7953,121.834,1.27852,31.4516,1.13033,13.5444,112.661,36.6787,1.12012,42.9832,0.841651,180.213,0.705726,29.0751
5,detector time,10.7927,13.6938,14.9148,13.3439,14.0645,19.6163,17.5389,19.3222,12.3356,18.1077,2.61422,3.22671,3.10454,3.31399,3.06578,263.809,316.265,32.28,304.936,260.358,12.577,11.8329,11.9056,11.9086,11.8947,189.07,175.131,119.849,201.628,186.255,166.716,220.363,224.208,245.345,207.586
,descriptor time,0.842941,4.63527,49.0726,0.859977,27.463,0.966472,4.73843,52.4636,0.809835,34.0675,1.02495,4.63718,31.5667,0.86528,32.0314,0.946168,16.4246,68.2349,0.947875,35.4974,0.827054,14.759,78.058,1.18463,32.063,1.44132,11.3387,102.2,59.0803,3.07349,34.9726,0.941159,146.537,0.764575,36.953
